Title,Name,Ratings,Review
My bike riding experience,4 years ago by Bablu Kumar Suman,5,Awesome riding experience i feel very proud and also economically efficient. I would like to suggest everyone to suggest this bike to purchase experience the best.I feel 0 jerk on broken road. Looking sharp. Me and my wife enjoying drive. This is the good quality of this model. I heartily recommend to every Indian to purchase this one.
Electric ride,3 years ago by Avinash Vimal,4,"The price according to petrol segment is high, but its cheaper than daily money we spend on petrol. Its very comfortable in riding. It's very smooth,and no noisy. The look are amazing, with round headlight. Front disc brake, comfortable seat, and a mobile charging port. The service is very cheap around 150. Pros are it's less noisy and cons are it's low ground clearance."
Under 50000,3 years ago by Mayur,5,Yes i have searched a lot for this bike find best under 50000 and i also find it very efficient only exception review is bad and i also want a top speed of 45 but as i ride on 55 with no problem so the very good thing is very much efficient bike i got under 50000 so my advice u can an  Indian e bike at very low price.
bike is not fit for Indian roads,3 years ago by Arjun,2,"I am using photon 72v from past 6 months.I was initial happy with the performance but, sad part is this bike is not fit for Indian roads, 1. Sudden brake and brake shoe broke 2. Speedometer not working 3. One very small impact in a pothole mudguard is broken 4. Battery went to deep discharge after 10 days of non-use. I am utterly disappointed with quality of this bike."
Don't buy hero electric bikes,3 years ago by Divakar,1,Hi i have purchased hero electric photon 72 v i enjoyed the ride up to 7 months after that it may not travel at-least 20 km i taken for service but they not replace the battery till now and my bike in service centre from three months and no proper response from dealer and company so guys my request don't buy hero electric bikes.
Its a good bike but not the best one...You wo,3 years ago by Arvinth,2,"Review will be quite bigger but its worth it, i hope,I strongly believed in hero electric , but bit disappointed on the vehicle i got, due to some problems in it. But will keep updating whether it got rectified or not & also the bikes performance in diff timelines in upcoming months.I bought this bike, hero electric photon (li model) on 10/11/2018 in erode dealership, but they delivered from another dealer due to stock unavailability. In hero electric showrooms i visited, all the staffs are decent and speaks/behaves well with customer. But they lack deep knowledge about the bikes they sell. Lesser than what i got to know while researching on choosing a good e-scooter. Also, most of the dealers don’t have vehicles for test drive(especially photon not for display also, they don’t have stock itself). This is a bigger disadvantage for both company and customers.  I went to 4 dealers in 3 different cities chennai (2 dealers), erode, trichy but they don’t have stock of photon li/photon itself.I preferred photon li model for its detachable lithium ion batteries. But its too difficult to remove batteries from vehicle. The seat plastic, covers the battery power pin/socket, so its difficult to remove the pin and lift battery. It is a major shock for me, if there was a test drive vehicle or display vehicle i would have got to know about it earlier and would have opted for some other vehicle. But i saw the vehicle for first time on delivery day only. If you are staying in apartment/ place without proper electric connection boxes in parking, then don’t opt this bike (till there is an updated version where they rectify this) as it is so difficult to remove batteries and charging it inside your home. You have to charge it with vehicle only.Then, the bike i took have following problems which disappointed me hugely. I believed in hero electric. It might be basic or small issues but facing it on first day, that too when u r travelling from dealership to home on first ride. Its so bad. Problem 1: dealership to my home is 60 kms(nearby districts). In middle of journey first battery got over and we switched to second one using the switch given under seat for changing battery from 1 to 2. After which bike didn’t started, for nearly 15 mins we struggled in middle of road and it started off by itself. Same problem occurred on day 3 also while switching from 1st battery to 2nd. Again struggled in middle of road for 20 mins Problem 2: suddenly sometimes motor is not working on acceleration. Everything else is working, from horn, headlight, indicators all are working. But if i accelerate, there is no power to motor, vehicle is not moving. I checked brake also, its not locked and brake light is off only. It happened 7 times in 3 days. In middle of road, in traffic, near home in different circumstances.Problem 3: i observe sound is coming while i stop accelerating or if i brake, its not from motor and not due to friction in tyres. But from front disc i hope. Its odd, in an electric vehicle on my first ride, a strange uncomfortable sound.Apart from these, a connector is not mounted, battery level indicator is not accurate, battery charged fully then also adapter showing red light, i have to unplug and plug again to check whether its full or not. Upon unplugging and plugging back its turning to green if charged. Adapter also have problem i hope. Remote alarm/lock ll serve only as anti-theft alarm, don’t expect more in it. Storage space below seat  is bit less compared to petrol scooters, due to batteries occupying the space. Quality, look & mechanism of the plastic separator that separates battery and storage space under seat is not good. Quality of plastics used have to be improved a bit.Pros: 1)	bike’s  look is good. Its simple and decent.2)	its really comfortable to ride, seats are spacious, foot space is good, easy to handle, less weight. Riding comfort is good, can be compared with top selling petrol bikes.3)	head light is good enough.4)	indicator can be turned off by a centre switch in indicator button which made t easier.5)	smooth ride, no noise/vibration ( exception :my defective vehicle)6)	speed and pick up is good compared to other evs. Can zip through city traffic easily. Achieves 50 kmph in flat or downside roads. 40 to 45 while climbing up (like flyovers). If compared to petrol counterparts, its bit downside in terms of pickup and speed. But more than enough for town or city commutes. 7)	with two riders also its performance is good.(though there will be slight change,only slight). It can go up to 40 to 45 kmph with two riders in flat roads & 30-35 kmph with two riders while climbing up (like flyovers)8)      braking is good, as supply will cut off once u apply brake. So braking quick and good. finally, keeping the problems in my bikes aside (hoping that these problems occurred only in my bike) , its a good choice as of now for city , town or less distance commutes. One main thing hero electric need to update in this model is making its battery removal easier. But we have to check the vehicle thoroughly before taking delivery to avoid facing problems as mine. So that you wont regret your decision on buying it, as everything else is fine/manageable except battery removal. coming to my bike: i don't know how such a faulty vehicle(which i got) was allowed till delivery. Do they  (hero electric) have any quality checks or preventive measures for such cases. Expecting a mechanic in a day from dealership as promised by them. Ll update after they service the vehicle."
Reviews of photon electric..,3 years ago by Raj,5,"The photon scooty is too much better to all electronic scooty ... So that ...1...Best mileage (if u want to go any relatives, friends meeting, emergency, travel so...Very. Very good if u save money with save earth.. Pollution no..Any carbon-dioxide bad effect to all Indians..... So finally save earth..Save money...Save life...Save budget... And get the happy future..."
Up to the mark,3 years ago by Humaira,4,My husband gifted me this bike . When i started the use of this bike for my job that time i realised that how beautifully it works. But it should be more stylish like petrol bike. If we talk about its pros and cons that bike is very comfortable in riding but only it should be little more better in mileage.
My experience,2 years ago by Vignesh,1,"I purchased an li ion photon bike and it comes around 96,000 after all insurance and rto and i ridden the bike for more than 8 months in that the bike get faulted more than 20 times of relay melting wire melting the service center employees are recalcitrant after i resale the bike to just 55,000.. And my hard earned money got wasted like paper."
Best innovative product,4 years ago by Grewal,5,
Awesome electric vehicle,4 years ago by Niks,5,"Hero photon is hands down the most eye candy scooter in the segment and delivers great performance. The scooter is powered electrically and is eco friendly. I really like the comfortable seating in the scooter, which can easily seat up to two occupants. The engine runs smoothly and silently. The scooter runs for up to 50kmpl on a full charge and is easy to handle."
Too good in looking as well as in driving,4 years ago by Vinod Chandaliya,5,
Bad quality,1 month ago by Hemal,1,"Very very bad and cheap qualityIn this price range many many more ev bikes are better than this oneEverything is badI ride 5000 km and i experience my all friends are using ev bikes and when i compare with other abbe by hero photo and bye is very bad and cheap quality all material are very cheapIn this price range many more bikes are better than hirakud dam i don’t know why hero photon price is 75,000 and like where is cheap plastic body seats are very bad brakes are very bad."
Extremely better,3 years ago by Adeel Khan,5,"The electric flash is very comfortable and give good service to the owner its disadvantage is that it cannot hold up more than 100 kilogram it is safely to travel nearly areas it is good for students education. It looking good, but it is charged in ground floor not on the upper floor. Its price is very low."
I suggest future for electric,9 months ago by Gaurav Sharma,5,Servicing and maintenance is very low cost. In present time people choose for affordable option only for electric bikes and scooty.
Good maintenance service,2 years ago by Ashutosh Khan,3,"It was great to buy.But riding was not too good.Has a less power but good at this price range .It's good for students . Servicing and maintenance are easy.Although, It is useful for daily use.But not for those who ride for longer distance these can be used within 15 km range."
Best scooter in always is hero electric,2 years ago by Kakarla Jagadish Kumar,5,"I past used honda activa but in my scooter gives mileage is 35 kms mileage, weekly my expenditure for petrol is 500rs. Yearly maintenance is also high and extra expenses, But in this electrical scooter is very much better than petrol scooters, Thanks for hero scooters Giving best scooter in hero in best price."
Don't purchase - hero electric vehicles,2 years ago by Sanjay,1,Kabhi mat purchase karna - quality of the product is too poor and no timely service is provided by the company.  I find it too be very low grade product and even suggest not to purchase this company product I find it too be very low grade product and even suggest not to purchase this company product.
Freaking love this scooty,2 years ago by Vishal,5,"Firstly i don't know why other websites had such bad reviews mayb cuz of the previous model(cuz i have ridden and it's so so) but i am in love with this model 1) buying experience was pretty nice ..They were polite and wer patient enough to listen to our queries and answer it 2) i had ridden once  250w motor flash and it was decently nice but because of top speed being 25km its ok for short distance in dense traffic ..But this 500w motor is perfect for daily commute ..Did not expect that initial torque and power to b so much in a 500w motor..Good enough to overtake autos and 100cc bike in low speeds below 35kmphr when they are not throttling in traffic while you are its like a breeze ...No vibrations no noise and especially if u r riding in a quiet locality its like waow the only noise you here is the suspension squeaking ..I guess hero needs to improve on that( being sarcastic) hahaha ...Looks pretty decent ..And decent ground clearance...Suspension is a bit stiff but its ok for a low speed ride ... Ridden 45km and still has two bar battery , guess it will go upto 55km for sure Don't know about maintenance since its less than 30 days but i think this is a killer scooty at the cost 58.5k on-road in kolkata with 3 years warranty for all the main components ..And running cost being cut down to 70 paise/km including battery cost ..And pollution free..Just a go commute."
Best bike a money can buy,3 years ago by Vikas Garg,5,"Excellent service provided by the dealer. Riding is like surfing on the wind, i suggest it's name would be windrider as all you can hear the sound of wind on lonely road.Looks. I often stopped by people asking, what is this kind of vehicle. Never seen such a great thing.Great value for money.Must for every home."
Review,3 years ago by Anuj Jha,5,Its a amazing electric scooter.I used it for daily rough use. My daily use is approx 70 km and i m happy with it. No any maintenance till yet. And i don't think it will need any maintenance if you take care of it properly. I used to charge drive and again charge and drive some time i used to trave it in city for 80 km a day.
Perfect for city rides. Perfect on pocket !,3 years ago by B Pal,5,"Got it for 45000 on road in bangalore. Actual price is around 53000. Very smooth and 3 years warranty for all battery, motor, and controller ensures peace of mind. Very light and easy to handle. Motor cuts off during braking, which is a very good feature. Very cute looking scooter. Speed saturates around 38 to 40 km/hr. Keeping a good tyre pressure will ensure good battery life and pickup. Only one disadvantage is, can't take for a long drive, but then who takes the scooter for a long drive? the range of 60 km per charge is pretty good enough. Finally, hero has made a perfect product or the indian market."
Eco green scooter,3 years ago by Venkatesan,5,I'm want to buy this sexy slim scooter. Now a days petrol is big problem for everyone. Petrol also very bad quality and less quantity for the amount we are given. Maximum all are traveling around 50-70 kms. Per day. So i choose to buy the scooter. We are allocate around 4000-5000 rupees every month for petrol. That amount will be saved in your pocket. And our atmosphere also not polluted. The main thing is we live little bit healthy...
Review,3 years ago by Pushpendra Singh Ranawat,5,All 1 to 5 point excellent riding experience smooth ride no pollution no noise looking very sexy and sporty and maintenance free daily ride for going to duty tension free almost 35 km with joy on the road and seen many natural sight seen everyone see my riding and tell me what a scooter you have purchased.
Altogether is waste of money on buying this v,2 years ago by Viswanathan,1,"Worst experience very difficult while driving in the bridge appearance  looks good, performance very poor service is very poor quality of vehicle is not good shock absorber  failed in two months,  if vehicle get puncture it will be headache no local shop will do puncture work and dismantling the wheel the assembling wheel is not easy connectors for the motor not accessible easily. It run for only 5000 km battery cost is high comparatively higher than petrol vehicle and only your happiness will go away by purchasing this vehicle. Lot of disadvantage is only for this vehicle.  Poor service center nobody cares for it."
Best,3 years ago by Anil,5,It was awesome Low price to buy. No troubles with riding. Look it was good for me and you. Servicing and maintenance was supper .We have a responsibility to save our environment at a time we saving our money and i'm suggest to buy this scooter  it was supper and awesome.Go now and buy the scooter.Hero splash.
Superb,3 years ago by Mehboob,4,Actually i saw this vehicle before 1'year but i am planning to purchase this bike for my father.  This bike is smooth and comfortable with double seat also with very low maintenance and repair. Good and comfortable with double seat and back again to purchase this product on vacation from raigad Maharashtra India.
Waste of money this is waste product and serv,3 years ago by Lokendra Sahu,1,This is waste product i have used yet i am not suggest to any one to buy this product this is totally wastage of money riding experience is bad it can't run with 2 people sitting this is the waste product and services i have used specially for the the services i feel cheated with this product i never recommend to any one to purchase the product my bike is only 5 months old it creates many problems with the battery and other parts of the vehicle.
Super price,3 years ago by Deepak Yadav,4,"This scooty is super and super range ,and this  scooty is electric it is super for environment. Scooty design is so nice and cool and this pick up is so nice,and his led light is not cool but just ok ,scooty colour is so cool it is like small price but nice my first choice, this scooty is small price but right choice for any one."
Love this scooter,3 years ago by Shekhar,5,"I had a very good time with my this electric scooty Easy to ride and smooth handling, service is also good for this scooty  looks and the headlight is very cool and good looking  At last i love this bike at all  charging is so good I plug this at night And its run upto 170 km with 40-50 speed approx whole day Very nice product hero  than you."
Electric Flash,3 years ago by Deepak Verma,5,"This very good bike for students and services and also  save daily fuel.Good for daily use. Low maintenance cost helps a lot . A lot of colour variants to choose from. You get assured services from hero corp. And yes , electric is the future. Better aerodynamics  helps the vehicle get to the highest of the speeds."
Nice product,3 years ago by Amit Vyas,4,Its a very good and useful product. I am a user of hero electric flash scooter and hi gives me full value of my money. I am glad that it is not harmful for nature. Today petrol price is a most common problem for every person. But my hero electric flash gives me financial freedom for this situation.
Review,3 years ago by Kalyani Mallick,5,1. Buying experience.Ans. Very good 2. Riding experience Very smooth and silent 3. Looks Awesome look Better performance 4. Service. Very good service 5. Pros and cons Good for environment No pollution Light is very good Light weight Cons Battery is not covered well In-front of seat is not well locked Any one can remove seat It is very bad. It means anyone can stole battery.So i suggest do some better protect for battery Thanks.
Servicing very bad,8 months ago by Jithin,3,"Servicing and maintenance:- very bad attitude from dealers(Trissur). They are only for sales, no need to her any complaints from customer. Now a days not picking calls. Servicing and maintenance:- very bad attitude from dealers(Trissur, mannuthi)  They are only for sales, no need to her any complaints from customer. Now a days not picking calls."
Review,1 year ago by Srajudheen,1,The customer service is really pathetic. There is no escalation contact. No proper channel to raise complaint. I booked this vehicle and they delivered a defective meter. The showroom says they are not responsible to defect and kerala sales manager is responsible. He never picks calls. Even after 3 months defective meter is not fixed. Please never buy from hero. Very bad experience.
Poor service,10 months ago by Vimal,1,"Very poor experience .I have recently purchased their nyx model from Aditya motors Varanasi ,up .May be he delivered us a defective piece not even 4 months had passed and I renewed almost each every part of it as every parts got damaged on weekly basis, dealer told us that there is no warranty on it. Uncomfortable seats. Very less mileage have written many emails to the company but no replies ,not receiving customer care phone calls also .Even their gift vouchers are also already redeemed one .I will suggest not to buy their any model because in future they are not going to help you in any way."
Waste of hard earned money,10 months ago by Akshay Rajendra Mishra,1,"1) Very bad experience while buying something else shown on website regarding offer and when you visit showroom they don't know what we are talking about. 2) Riding experience is totally worst. Everything is made up of plastic and which is of worst quality. Within few months many noises will arise and lock problem which I had to change within 2 months by paying 1200 rs.3) Looks is not so good compared to petrol bikes and performance is worst. You buy a bike to save money but actually you should have invested in a petrol bike because parts of this bike is costly.4) Servicing and maintenance is always ready. As soon as you reach the showroom they will say some parts are broken which is not in warranty and ask you to pay, costly to maintain this bike. 5) pros I haven't seen any bike like this. My hard earned money I lost like stupid and I never recommend any one to take this bike."
Hero flash the best ev scooter.,1 year ago by Oommen Thomas,5,"I have completed 1020 km's on this bike.100 km's plus per charge is again and again checked and found correct. The odometer always gives a 10 percent less reading than actual. I have taken that also into account in 100 km's range. Hero electric lite is the best ev scooter in India, for the same price, and specifications. Go for this scooter to beat the petrol price and save loads of money. I have no issues in running this scooter. I recommend buyers should read a lot on lithium ion batteries and care of them for excellent range."
Awesome hero flash the petrol buster.,1 year ago by Oommen Thomas,5,"Awesome performance. I get 100 km's range with full charge. But I use it for 60 to 70 km's range only. Charging is then for two hours only. The best e bike in India. One charge is less than 1 unit. It's the cheapest mode of transport. Cost of 70 km's ride is approx. 8 rupees, or 10 paisa per km's. The bike needs disc brakes."
Awesome hero flash the petrol buster.,1 year ago by Oommen Thomas,5,"Awesome bike. I bought the hero flash from e galaxy showroom in pcmc. The sale and service personal are very helpful. I get a range of 100 km's now after riding 750 km's. I don't use the full 100 km's. I charge after every 60 to 70 km's. Charging takes just 2 hour's plus. That's because a lithium ion battery should not be charged 100 percent and should not be drained completely. I let the bike roll as much as it can and I use the throttle sparingly. Look wise the bike has a lovely cute look. I love it. Till now no maintenance. At 100 km's approx. per charge, I will get back my investment in maximum 1 year. I use under 1 unit of electricity per charge. So it's just 10 rupees for 100 km's. Or 10 paisa per km. Braking is an area the company should improve by giving disc brakes both front and rear."
Service and maintenance is very expansive.,1 year ago by Venkat,2,"Service and maintenance- even a small fix for breaks can only be fixed by hero electric showroom. Because parts are not available in open market, other mechanics are scared to touch these vehicles. And showrooms charge too much of price for even a small fix. Mechanics at Vijayawada service center are very rude as we are completely depended on them for fixing it."
Do I regret buying it for daily use.,1 year ago by Yashwanth,5,"I bought it in Hyderabad, When I was buying it they promised me of 50 km range but I got around 40. Still good. When I bought it home it was very silent and felt like a new experience .I don't know why but I got so much excited for that . One of the main reasons I bought that I don't need registration for that and I also don't need insurance and all that stuff. It's like ex showroom price is on road price .It once got stopped and didn't give warning but luckily I was near my home so I charged it . Well it was my fault that I didn't charge it in 7 days . So it was great and I felt great and I clearly don't regret buying that."
Very economical scooty,1 year ago by Parvesh Kumar,4,"It was easily available in market. I usually drive this bike and really love the ride. It is very attractive and light weight. The best thing is it is very economical and attractive. No need of service just some times wiring check is needed. Yes battery life goes of decreasing with time. Very less maintenance charge. Just have to replace the battery, but my one is going good."
"Waste of money, don't go for hero electric sc",1 year ago by Sulthan,1,"Worst experience with hero electric scooter. Performance is poor, quality was not up to the mark as expected. With one full charge the scooter is running only 30 km/l. The build quality was also very poor. I was totally disappointed with hero electric scooter. Waste of money and not satisfied with this scooter."
Amazing hero Electric,3 years ago by Nivesh Kumar,4,it's amazing vehicle. This type of vehicles play an important role in the field of green and clean environment. There are lots of amazing features of this bike. It's cost is totally pocket friendly. It's design and colour is attractive. It's riding and maintenance is too easy.  It is easily available in market. The main function is that it is trust  of hero. Thank you.
Its goods for daily used,1 year ago by Syed Naveed,4,"I have used this bike for buy essential, sometimes i was go for my work and its good for ladies also. Speed 35 to 40 but its ok mileage 40 to 48 not bad one time charge you can drive 40 to 48 kilometre. Its cheap if we compare to petrol bikes just charge and drive, if anyone want to buy that's good for home only not for work."
Suitability riding of electric bike,1 year ago by G Garai,4,1. When i bought this bike it was high value but now this bike is economical.2. Seat is low for man but it is comfortable for women.3. Color of bike is very nice but height of seat is low.4. Servicing of this bike is done well except tube repair is very difficult because a pin is inserted into the tyre then tube is difficult to open for rear wheel . If tyre of rear wheel is solid then it is very good. Motor of rear wheel works difficult to repair.Pros: it is light in weight.Parts are light in weight.Height of this car is convenient for women.Cons: it runs sightly.Parts of this bike is not so strong.Seat of this bike is low height for man.Tyre of rear wheel is not so  solid as it necessary.
Spares are not worthy,1 year ago by Bhargav,1,"My optima giving half mileage of what promised by company with in 2 months.When i asked dealer he said first you got 3 years warranty. But now he said we don't keep batteries as spares. It cost 5000 rupees to ship your batteries to company and takes minimum 3 months . And more over you have to bare other charges if problem won't find by company.  When i called customer service, they gave me rm number, unfortunately they revealed secrets that they don't manufacturer any product like batteries and spares and body parts and body. They only buy every peace. So they don't have any technology to test and improve the batteries."
Flash exposed!!,1 year ago by Priyanshu Luhar,4,Buying experience was like a champ...It's good for teenagers with no licence and for not over speeding..The suspensions were really appreciated by me but the acceleration will decrease over time..The trunk is really tiny ..You'll need to buy a special helmet to fit in the trunk ..And one last thing read the manual carefully even for once...Thanks
I just love it,1 year ago by Surajit Paul,5,Wow mind blowing bike. I really like this bike. Excellent service of bike. Also customers service is very good. I love u my bike. My 6 friends bought these bike. They are also this bike. Wow mind blowing bike. I really like this bike. Excellent service of bike. Also customers service is very good. I love u my bike. My 6 friends bought these bike. They are also this bike.
Amazing fantastic two wheeler,1 year ago by Lalhumhima,5,"Easy drive, its looks pretty and attractive.Easy maintenance and servicing after sales was reliable.Preferably for a young guys for everyday used,easy rides and more lasting in comparable to other two wheeler. It is a lightly and easy to control drive  for not only an older person ,but for a younger guys."
Flash for a near-zero running cost!,2 years ago by Dr S John Bosco,4,"I am intrigued by the smooth, silent and efficient test ride of the flash hero electric vehicle. It was an astonishing experience for me to note that the vehicle fell silent and in stand-by mode at the signal till i accelerated... And the pick up was immediate! an ideal machine for in-town move-abouts. Your ads could be more aggressive. People could be weaned away from the false idea of meaningless speed,  wastage of power and money - and the consequent inevitable 'eco-pollutions'...It will be wonderful if its range per charge could be enhanced. I have some innovative ideas for the same. I would be happy to offer my experience & expertise to conduct/ guide some projects in this regard for the company. Kindly contact me in this regard if you think it would be useful..."
All about flash lead model how to maintain an,2 years ago by Mohammed Siddiq,3,"I bought this bike(lead) in june 2019 at 41,000(maybe costlier than now)it is good in looking but it's body is totally plastic. According to me it can't handle more than 130-150 kg of weight for the speed. If you are buying then be careful while driving, i met with an small accident and the condition of the bike was worst due to its plastic body. And one more thing it takes around 8-9 hrs for charging and last till just 30-45 km(not more than that according to me). When it was new there was no footrest for keeping legs but now may be company is allowing.Well it's maintenance is not that hard just to charge and keep it clean. But i recommend to take it to service every 2-3 months because it may cause some break issues. Otherwise this bike is amazing and you will be feeling happy to drive this."
flashing bike,9 months ago by Deepanshu Jain,1,"We purchased hero electric flash from Jindal motors, Khandwa. This dealer is good and best in service but Hero Elecric suddenly changed their dealer. Against complaint of battery problem to the dealer an inexperienced engineer worked on my hero flash bike and some items were not installed due to this my bike not working properly and demanded Rs. 500 for under warranty service and say you did not purchase this bike."
Wonderful invention,4 years ago by Vikas Kumar,4,
Super scooty,3 years ago by Harikishankhatri,5,"I ride this flash bike.This is very good and smooth ride.Its light weight.Low maintenance,its ride like a batter,this bike looks very nice,but one problem is its speed is too low.But its comfortable for lady. I want to buy this bike again for my wife. This is amazing gift for my wife. So i want to buy this flash bike."
Moving  bird,4 years ago by Samsudeen K,5,It is amazing for old younger above 50 years Very smooth No noise Look was really good Good use for within 10kms It gives 27km/hr And 55kms/1 charge. I was use last 6 month it give good mileage  No trouble in running Hero service also good Brake lever  is little hard Seat lock not perfect its give little sound in vehicle running time.
Environmental successor,4 years ago by Suraj Pingale,5,
Stunning,4 years ago by Sekhar Babu,4,
Not satisfied with this bike,4 years ago by Vijay Rebello,1,
E-scooty,5 months ago by Satyam Dwivedi,5,I had taken a ride of this ebike in gorakhpur. It's run very smoothly and well. I think a best scooty in this price is unvalued. May be able to afford this is a dream for me and many younger like me. Look is attractive and performance is also good. Serving and maintenance services are quite easy. Biggest problem is not to rate of fuel and cons is build quality material.
Hero Electric Flash review,3 months ago by Sayyed,1,One of worst bike in electric no service bad feature break maintenance weak show ups don't waste your money on this bike i purchased it but i didn't receive battery from last 3 months i am using it i purchased it from Aurangabad showrooms but not getting proper service.
Value for money,4 years ago by Jacob,4,
Best scooter,4 years ago by Aakarshit,4,
Pathetic vehicle .,3 months ago by Magesh,1,"Don't buy the bike from this dealer. Very pathetic experience. 6.30 pm i have taken delivery from show room on 27th Jan 2022  , at 6.45 pm console light, indicator and head light was not working. Informed dhanya motors and they sent mechanic very next day. And resolved the issue. As per them it was resolved. The moment their mechanic  left the house , issue started again. Used the vehicle for 3 days with out light and indicator due to urgency. Informed dhanya motor again to rectify , they have taken back the vehicle to check.  As per them the issue was due to loose connection and they want me to pick up the bike from work shop..... Why should i pick up the bike from their  work shop? They are not sure whether issue has been addressed or not. They want me to check and take.  I said no... Last 3 days it is lying in the show room. Never purchase this vehicle, if you want o purchase never in dhanya motor. Pathetic response from the team. I have made big blunder"
Great for city travelling,4 years ago by Rudra Kaushik,4,Great for city travelling it is a good and comfortable bike for daily nearest way it is pollution free it is fully automatic and the brakes are very high and it has very effective price i think it's a great deal for me and my family it has a noise free riding and the battery charged very quickly all over it is a great deal.
Worst hero electric,3 months ago by Nick,1,"After full charge, it's only run 35-40 km, while driving nonstop. On fly over it become very difficult to drive as is comes on speed 10 on a single person ride, battery cost is also high, which is likely 36000 for 1 battery. No pick up.If i used to drive on long way, then charging issue, over all its totally wastage of money."
Easy ride,4 years ago by Adarsh Singh,5,
Hero flash will flash you life,4 years ago by Sambasivarao,4,
I love my environment.,4 years ago by Deepak,5,
Pollution free,4 years ago by Shubham S Mahajan,5,
My electric bike,4 years ago by Lata,3,
Smarty,4 years ago by Priya Rathi,5,
Detailed review of hero electric flash,4 years ago by Sahil Rao,4,
It's a wow..........,4 years ago by Bhavin Shah,5,
Dissatisfaction,6 months ago by Ravi Kumar,1,Very burst electric bike. I am not satisfied with his charging system or pickup. After 20-25 km bike going shut down automatically. Last night bike gone shut down before 2 km from my home and I pulled it to home 2 km at 11 pm. Please take back your bike. And i visit to your showroom and they me back without any work on bike. They were also very unfamiliar.
Performance & looking smart in less amount,3 years ago by Mahesh Khaire,5,"Very profitable for you wallet Its an very easy bike to ride, sound less very smooth bike for children, ladies  &man also for local used.Look was was very good its have very less service amount as compare to other petrol scooties You bike this vehicle for your children because its doesn't required license & insurance also."
Disappointed by company behavior and its serv,8 months ago by Avinash,1,I bought rafter electric scooter in last year October in June month. My scooter stopped charging. So many times I complained to the showroom. From last 45 days. I handed over my scooter to showroom for diagnose. The problem is still there but still no solution for my scooter by company.  I am very disappointed with Rafter company owner and their employees behavior
Perfect e bike,3 years ago by Rohit Dwivedi,5,"I have used this bike of one of my friend, it is superb for daily city ride with amazing features ,it is well balanced and nicely designed bike for ladies , office uses and collage students and  perfect for Indian roads with no patrol cost and lots of savings thanks to hero for inventing such a nice e bike."
Awesome hero flash the petrol buster.,8 months ago by Oommen Thomas,5,"Amazing electric scooter.Completed 2800 kms. It gives a 100 kms range for a single rider weighing 45 kg.And 85 kms range for single rider weighing 90 kg. It's rs 10 for a 100 kms ride.Consumes one unit of electricity for a full charge.Perfect for students, teenagers, retired citizens and to all those who are not in a hurry."
Hero electric flash bike. Helpful for student,3 years ago by Pramod Kumar,5,"I am rightfully thankful to the maker of this bike.This bike will be very beneficial for the students.In the coming days, we feel that only electric bikes will be trending.Hero electric bike is very good choice for those people who are still poor in our country India. This bike is not only cheap but also good for environment.I would like to thank the hero company too."
Good flash,3 years ago by Ranjeet,3,"Good bike, i think because it is nice looking bike which comes with many features and one of best feature is that it is an electronic bike. If you buy this so you will see that it price is lower than the other vehicles which are available in the market. I am very much satisfied with this bike's performance."
Hero flash daily,4 years ago by Rahman,4,It's an amazing bike for daily use value for money and time riding suits for all ages....!Capable two seater and mileage is good according to e- bike ride.Focus headlights is good design and indicators. Wheels and brakes are comfortable as per speed of bike.All over well designed and slim look ride in traffic places....
Awesome bike,3 years ago by Shubham Kumar,5,"This bike is very cheap in prices.This bike riding  is awesome, looks are very excited this bike and performance is very very great ..This bike is service and maintenance free..And this bike is very beautiful and useful...And i am excited for used this bike and i will suggest for the closed people for used this bike..."
Hero Electric Flash review,6 months ago by Jitendra,5,"This vehicle is good for environment . Other vehicle produced the bad gases and heat. Nowadays, petrol prices are increased . Electric vehicle is cheaper as compared to petrol. Soundless vehicle. Boot space is large. Maintenance cost low as compared to petrol vehicle"
Don't buy this toy. Go for some other good br,6 months ago by Manish,1,"Don't buy this product. You will never able to know how much battery left and mileage. Once fully charged you are never able to get total kilometers it runs. Its a toy, no use. Go for some other good brand. This brand is sheer wastage of money. Worst display and its software. Night lamps are also not so good."
Value for money,3 years ago by Sachin Sharma,5,Superb electric bike .... Nil maintenance ...... Everything is perfect in hero flash. ... Smooth ride... Best pick up in segment ...Stylish look .... Value for money ... Go for it without any hesitation ... Low cost... Highly affordable with best mileage...........Replace your petrol bikes with this .
Fantastic,3 years ago by Abhishek,4,Its good looking good average..Its mileage is also fine..Its worth of money..I bought it and gifted to dad..Initially he was not happy but as he started the ride for few days he became comfortable and started enjoying the ride and said its worth of money and he carry out its daily routine task on the flash only.
Shaan ki sawari,4 years ago by Mahesh,5,Very less price and smooth driving. Mostly sound pollution less driving. And tension free from any type of documents and police inquiry. Saving money with many activities like oil servicing.  Mileage  is very important think for bike and that's are truly  found in this bike . This bike takes very important place for poor family .
Best electric bike,3 years ago by Dinesh,4,"I ride this flash bike.This is very good and smooth ride.Its light weight.Low maintenance,its ride like a batter,this bike looks very nice,but one problem is its speed is too low.But its comfortable for lady. I want again buy this bike for my wife. This is amazing gift for my wife. So i want to buy this flash bike."
My flash,4 years ago by Shagun,4,I brought this bike for my mom...She is so happy and comfortable to ride this ... It's look is amazing ...Good value of money.. I used to ride this scooty ... It does not requires driving license as it is eco friendly ... We are also making our environment happy and green ...
